epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.1025,2.60509,5.54114,2.47403,0.67402,0.02429,0.01974,0.01128,2.6426,4.70931,2.76038,7.272e-05,7.272e-05,7.272e-05
2,10.2259,2.20756,4.22491,2.18364,0.4113,0.14012,0.10145,0.0353,2.32854,3.63666,2.38276,0.00015147,0.00015147,0.00015147
3,14.7958,1.95475,3.30608,1.91357,0.32873,0.14458,0.13006,0.04771,2.25878,3.87442,2.18383,0.000226981,0.000226981,0.000226981
4,19.2429,1.89316,2.71802,1.82792,0.3733,0.19787,0.13186,0.05522,2.33464,5.20508,2.20496,0.000299252,0.000299252,0.000299252
5,23.4706,1.86985,2.45443,1.79296,0.19504,0.24384,0.12186,0.04305,2.44521,9.28052,2.48349,0.000368283,0.000368283,0.000368283
6,27.2887,1.84883,2.22391,1.79979,0.15167,0.11507,0.08987,0.02774,2.68541,5.03573,2.65081,0.000434075,0.000434075,0.000434075
7,31.1545,1.80798,2.07253,1.76766,0.14525,0.21214,0.10455,0.0421,2.61778,4.86233,2.85743,0.000496627,0.000496627,0.000496627
8,34.9868,1.8093,2.04383,1.77189,0.4222,0.26284,0.16747,0.06026,2.32874,13.0681,2.73399,0.000555939,0.000555939,0.000555939
9,39.2251,1.79632,1.95229,1.8055,0.33685,0.2641,0.14353,0.04704,2.52474,7.42118,2.91116,0.000612012,0.000612012,0.000612012
10,43.0392,1.81527,1.91771,1.78894,0.45897,0.15097,0.14816,0.05085,2.73363,4.92155,2.89611,0.000664844,0.000664844,0.000664844
11,46.8263,1.86114,1.8916,1.78252,0.21814,0.17004,0.10617,0.04149,2.51574,6.30854,2.81392,0.000714438,0.000714438,0.000714438
12,50.6677,1.81887,1.93722,1.75529,0.46426,0.17364,0.1354,0.05706,2.42508,8.7949,2.82623,0.00071102,0.00071102,0.00071102
13,54.5279,1.81665,1.86069,1.74261,0.36587,0.22656,0.1772,0.07475,2.40536,9.98218,2.76278,0.000693022,0.000693022,0.000693022
14,58.7912,1.76162,1.75719,1.71232,0.29071,0.16375,0.15701,0.05869,2.54522,7.79222,2.91865,0.000675023,0.000675023,0.000675023
15,62.7196,1.77715,1.79945,1.72459,0.29439,0.27334,0.21235,0.07839,2.45022,4.77837,2.79603,0.000657025,0.000657025,0.000657025
16,67.0189,1.71265,1.67817,1.70276,0.23414,0.24028,0.16052,0.05565,2.58314,6.42886,2.87912,0.000639027,0.000639027,0.000639027
17,70.9211,1.70271,1.58942,1.6831,0.24242,0.28302,0.18359,0.06468,2.51994,7.94698,2.73411,0.000621029,0.000621029,0.000621029
18,74.7924,1.64573,1.57652,1.61182,0.40173,0.34961,0.26707,0.0964,2.36357,4.36631,2.5844,0.000603031,0.000603031,0.000603031
